Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
J;"Hiebert, J; Stigler, JW";;;;"Hiebert, J; Stigler, JW";;;A proposal for improving classroom teaching: Lessons from the TIMSS Video Study;ELEMENTARY SCHOOL JOURNAL;;;;;;;;;;;;Results from the Third International Mathematics and Science Study (TIMSS) Video Study of Teaching show that many teachers in the United States believe they are changing the way they teach while they retain the core of traditional practice. Results from the video study, which also included teachers from Germany and Japan, along with comparisons of teacher development systems, help to explain the persistence of traditional teaching methods and point to a new model for improving teaching. After presenting results from the video study regarding teachers' perceptions of the effects of recent reforms on their practice, we propose a research and development system for improving teaching that builds on the Japanese process of lesson study. We describe the process as it works in Japan and outline the conditions that would enable such a process to function effectively in the United States.;;;;;;;;;;;;;;;;;;;0013-5984;;;;;SEP;2000;101;1;;;;;3;20;;10.1086/499656;http://dx.doi.org/10.1086/499656;;;;;;;;;;;;;WOS:000089061000002;View Full Record in Web of Science
J;"Franks, A; Jewitt, C";;;;"Franks, A; Jewitt, C";;;The meaning of action in learning and teaching;BRITISH EDUCATIONAL RESEARCH JOURNAL;;;;;;;;;;;;Action is a highly theorised aspect of social life. Nonetheless, it remains a relatively neglected source of data within educational research. This article attempts to highlight the significance of the analysis of organised action within educational research. It describes and demonstrates an analytical approach to action applicable to the classroom developed from approaches to the analysis of bodily communication and action in drama education and from new approaches to rhetoric. These approaches draw on social semiotic theories of making meaning in order to describe the complex relationship between the semiotics of social action and the situated experience of learning in the classroom. This article describes how action realises meanings and shapes classroom interaction through the application of the schema to video data from a science lesson on energy with Year 9 pupils (14 years old). Finally, it draws attention to the research and pedagogical implications of a focus on action in the science classroom and in education more generally.;;;;;;"Jewitt, Carey/0000-0002-2971-984X; franks, anton/0000-0002-9144-3485";;;;;;;;;;;;;0141-1926;1469-3518;;;;APR;2001;27;2;;;;;201;218;;10.1080/01411920120037144;http://dx.doi.org/10.1080/01411920120037144;;;;;;;;;;;;;WOS:000168009900007;View Full Record in Web of Science
J;"Prenzel, M; Seidel, T; Lehrke, M; Rimmele, R; Duit, R; Euler, M; Geiser, H; Hoffmann, L; Muller, C; Widodo, A";;;;"Prenzel, M; Seidel, T; Lehrke, M; Rimmele, R; Duit, R; Euler, M; Geiser, H; Hoffmann, L; Muller, C; Widodo, A";;;Teaching and learning in the physics class - A video study;ZEITSCHRIFT FUR PADAGOGIK;;;;;;;;;;;;;;;;;Seidel, Tina/C-6221-2009;Seidel, Tina/0000-0002-2578-1208;;;;;;;;;;;;;0044-3247;;;;;NOV;2002;;;;45;;;139;156;;;;;;;;;;;;;;;;WOS:000180217800010;View Full Record in Web of Science
J;"Rabain-Jamin, J; Maynard, AE; Greenfield, P";;;;"Rabain-Jamin, J; Maynard, AE; Greenfield, P";;;Implications of sibling caregiving for sibling relations and teaching interactions in two cultures;ETHOS;;;;;29th Annual Meeting of the Jean-Piaget-Society;JUN 01-05, 1999;MEXICO CITY, MEXICO;Jean Piaget Soc;;;;This article explores the social and cognitive implications of sibling caregiving among the Zinacantec Maya of Mexico and the Wolof of Senegal. Ethnographic video data of sibling caregiving interactions were collected, focusing on children ages three to 13 years interacting with their two-year-old siblings. Sibling relations in both cultures reflect a system of multiage play, the children's sensitivity to age and gender hierarchies, and the older siblings' role as teachers of their younger siblings. Differences in the two groups include more verbal exchanges and wordplay with the two-year-old Wolof children and more overt efforts by older Zinacantec siblings to incorporate the two year olds into their group activity. The data indicate an overall pattern of cultural transmission by which older siblings teach younger ones in the context of caring for them. The pattern is nuanced by each group's social organization and rules for social interaction, exhibited in the children's play.;;;;;;;;;;;;;;;;;;;0091-2131;1548-1352;;;;JUN;2003;31;2;;;;;204;231;;10.1525/eth.2003.31.2.204;http://dx.doi.org/10.1525/eth.2003.31.2.204;;;;;;;;;;;;;WOS:000187999800003;View Full Record in Web of Science
J;;;;;;;TIMSS Video Math Res Grp;Understanding and improving mathematics teaching: Highlights from the TIMSS 1999 video study;PHI DELTA KAPPAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0031-7217;1940-6487;;;;JUN;2003;84;10;;;;;768;775;;;;;;;;;;;;;;;;WOS:000183286100011;View Full Record in Web of Science
J;"Veermans, M; Jarvela, S";;;;"Veermans, M; Jarvela, S";;;Generalized achievement goals and situational coping in inquiry learning;INSTRUCTIONAL SCIENCE;;;;;;;;;;;;This study examined situation-specific coping strategies of students with different achievement goals as they take part in inquiry learning. A case study was conducted in a Finnish elementary school. 21 ten-year-old students participated in the study. Two types of data were collected: ( 1) Students self-reported questionnaires on achievement goals, ( 2) Video data on the students' learning processes and social interaction. The results revealed the importance of a situative perspective in instructional design, since the students not only differed in their coping attempts regarding their initial goals but also according to their individual situational interpretations that mediated their active coping attempts. Some of the non-learning-focused students had difficulties engaging in the working procedures. A lack of teacher's concrete and precise guidance in both cognitive and motivational sense appeared to explain this phenomenon.;;;;;Järvelä, Sanna M/B-4267-2013;;;;;;;;;;;;;;0020-4277;1573-1952;;;;JUL;2004;32;4;;;;;269;291;;10.1023/B:TRUC.0000026465.74406.47;http://dx.doi.org/10.1023/B:TRUC.0000026465.74406.47;;;;;;;;;;;;;WOS:000221203300001;View Full Record in Web of Science
J;"Hiebert, J; Stigler, JW; Jacobs, JK; Givvin, KB; Garnier, H; Smith, M; Hollingsworth, H; Manaster, A; Wearne, D; Gallimore, R";;;;"Hiebert, J; Stigler, JW; Jacobs, JK; Givvin, KB; Garnier, H; Smith, M; Hollingsworth, H; Manaster, A; Wearne, D; Gallimore, R";;;Mathematics teaching in the United States today (and tomorrow): Results from the TIMSS 1999 Video Study;EDUCATIONAL EVALUATION AND POLICY ANALYSIS;;;;;;;;;;;;The Third International Mathematics and Science Study (TIMSS) 1999 Video Study examined eighth-grade mathematics teaching in the United States and six higher-achieving countries. A range of teaching systems were found across higher-achieving countries that balanced attention to challenging content, procedural skill, and conceptual understanding in different ways. The United States displayed a unique system of teaching, not because of any particular feature but because of a constellation of features that reinforced attention to lower-level mathematics skills. The authors argue that these results are relevant for policy (mathematics) debates in the United States because they provide a current account of what actually is happening inside U.S. classrooms and because they demonstrate that current debates often pose overly simple choices. The authors suggest ways to learn from examining teaching systems that are not alien to U.S. teachers but that balance a skill emphasis with attention to challenging mathematics and conceptual development.;;;;;Jacobs, Jennifer/GYQ-5999-2022;;;;;;;;;;;;;;0162-3737;;;;;SUM;2005;27;2;;;;;111;132;;10.3102/01623737027002111;http://dx.doi.org/10.3102/01623737027002111;;;;;;;;;;;;;WOS:000230839500001;View Full Record in Web of Science
J;"Kung, RL; Kung, P; Linder, C";;;;"Kung, Rebecca Lippmann; Kung, Peter; Linder, Cedric";;;Equipment issues regarding the collection of video data for research;PHYSICAL REVIEW SPECIAL TOPICS-PHYSICS EDUCATION RESEARCH;;;;;;;;;;;;Physics education research increasingly makes use of video data for analysis of student learning and teaching practice. Collection of these data is conceptually simple but execution is often fraught with costly and time-consuming complications. This pragmatic paper discusses the development of systems to record and permanently archive audio and video data in real-time. We focus on a system based upon consumer video DVD recorders, but also give an overview of other technologies and detail issues common to all systems. We detail common yet unexpected complications, particularly with regard to sound quality and compatibility with transcription software. Information specific to fixed and transportable systems, other technology options, and generic and specific equipment recommendations are given in supplemental appendices;;;;;;Linder, Cedric/0000-0001-6409-5182;;;;;;;;;;;;;1554-9178;;;;;JUL-DEC;2005;1;1;;;;;;;10105;10.1103/PhysRevSTPER.1.010105;http://dx.doi.org/10.1103/PhysRevSTPER.1.010105;;;;;;;;;;;;;WOS:000204838500005;View Full Record in Web of Science
J;Santagata, R;;;;Santagata, R;;;Practices and beliefs in mistake-handling activities: A video study of Italian and US mathematics lessons;TEACHING AND TEACHER EDUCATION;;;;;;;;;;;;Although psychological theories assign to mistakes a fundamental role in the learning process and suggest ways to deal with them, only few studies have analyzed ways teacher-student interactions surrounding mistakes occur in actual classroom settings. This study focuses on such analysis. Also examined here are cultural factors that inform teacher mistake-handling. The data include a sample of 30 Italian and 30 US videotaped eighth-grade mathematics lessons. The methodology combines a discourse analytic approach with quantification of some aspects of the interactions observed. The differences observed in Italian and US lessons are interpreted as a complex interplay of two elements: beliefs about learning and culturally specific instructional practices. (c) 2005 Elsevier Ltd. All rights reserved.;;;;;Santagata, Rossella/K-4105-2019;Santagata, Rossella/0000-0003-1499-8556;;;;;;;;;;;;;0742-051X;1879-2480;;;;JUL;2005;21;5;;;;;491;508;;10.1016/j.tate.2005.03.004;http://dx.doi.org/10.1016/j.tate.2005.03.004;;;;;;;;;;;;;WOS:000229996600003;View Full Record in Web of Science
J;"Givvin, KB; Hiebert, J; Jacobs, JK; Hollingsworth, H; Gallimore, R";;;;"Givvin, KB; Hiebert, J; Jacobs, JK; Hollingsworth, H; Gallimore, R";;;Are there national patterns of teaching? Evidence from the TIMSS 1999 video study;COMPARATIVE EDUCATION REVIEW;;;;;Annual Meeting of the American-Educational-Research-Association;APR 21-25, 2003;CHICAGO, IL;Amer Educ Res Assoc;;;;;;;;;Jacobs, Jennifer/GYQ-5999-2022;;;;;;;;;;;;;;0010-4086;1545-701X;;;;AUG;2005;49;3;;;;;311;343;;10.1086/430260;http://dx.doi.org/10.1086/430260;;;;;;;;;;;;;WOS:000231190600002;View Full Record in Web of Science
J;"Lynch, S; Kuipers, J; Pyke, C; Szesze, M";;;;"Lynch, S; Kuipers, J; Pyke, C; Szesze, M";;;Examining the effects of a highly rated science curriculum unit on diverse students: Results from a planning grant;JOURNAL OF RESEARCH IN SCIENCE TEACHING;;;;;;;;;;;;"This article reports on the results of a planning grant studying the effects of a highly rated curriculum unit on a diverse student population. The treatment was introduced to 1500 eighth grade students in five middle schools selected for their ethnic, linguistic, and socioeconomic diversity. Students were given pre-, post-, and delayed posttests on a Conservation of Matter Assessment and measures of motivation and engagement. This quasi-experiment found statistically significant posttest results for achievement, basic learning engagement, and goal orientation. Analyses of disaggregated data showed that subgroups of students in the treatment condition outscored their comparison group peers (n = 1500) in achievement in all cases, except for students currently enrolled in ESOL. Analysis of video data of a diverse group of four students as the unit was enacted suggests that students entered a learning environment that permitted them to function in different, but consistent ways over time; that is, the frequency of students' manipulation of objects showed a different pattern of engagement for each of the four students compared with patterns of verbal responses such as the use of scientific terms. The results of this planning grant paved the way for a large study of the scale-up of highly rated curriculum units. (c) 2005 Wiley Periodicals, Inc.";;;;;van Joolingen, Wouter R/A-7148-2011;van Joolingen, Wouter R/0000-0002-4271-2861;;;;;;;;;;;;;0022-4308;1098-2736;;;;OCT;2005;42;8;;;;;912;946;;10.1002/tea.20080;http://dx.doi.org/10.1002/tea.20080;;;;;;;;;;;;;WOS:000232551000003;View Full Record in Web of Science
J;"Armstrong, V; Barnes, S; Sutherland, R; Curran, S; Mills, S; Thompson, I";;;;"Armstrong, V; Barnes, S; Sutherland, R; Curran, S; Mills, S; Thompson, I";;;Collaborative research methodology for investigating teaching and learning: the use of interactive whiteboard technology;EDUCATIONAL REVIEW;;;;;;;;;;;;This paper discusses the results of a research project which aimed to capture, analyse and communicate the complex interactions between students, teachers and technology that occur in the classroom. Teachers and researchers used an innovative research design developed through the InterActive Education Project (Sutherland et al., 2003). Video case studies were carried out in four classrooms, focusing on the use of interactive whiteboard technology for teaching and learning. The case studies were analysed using StudioCode, an analytic tool which allows researchers to mark and code segments of video data into categories and themes. Teachers developed coding systems drawing on the learning aims and objectives of their particular lessons. The case studies illustrate that the introduction of interactive whiteboards (IWBs) into the classroom involves much more than the physical installation of the board and software. Teachers are the critical agents in mediating the software, the integration of the software into the subject aims of the lesson and appropriate use of the IWB to promote quality interactions and interactivity.;;;;;;;;;;;;;;;;;;;0013-1911;1465-3397;;;;NOV;2005;57;4;;;;;457;469;;10.1080/00131910500279551;http://dx.doi.org/10.1080/00131910500279551;;;;;;;;;;;;;WOS:000233438800004;View Full Record in Web of Science
J;"Seidel, T; Prenzel, M";;;;"Seidel, Tina; Prenzel, Manfred";;;Stability of teaching patterns in physics instruction: Findings from a video study;LEARNING AND INSTRUCTION;;;;;;;;;;;;The study investigated variant and invariant physics teaching patterns across time and topics. It is assumed that the analysis perspective is decisive for identifying variant and invariant teaching patterns. Therefore, we focused on three perspectives: (1) organisation of activities, (2) quality of teacher-student interactions, and (3) students' perception of learning conditions. The design included three lessons of two topics (13 classes x 2 topics x 3 lessons) that were videotaped in each class. The findings indicate variants in teaching for the organisation of activities. Invariants were identified for teacher-student interactions and the students' perception of learning conditions. (c) 2006 Elsevier Ltd. All rights reserved.;;;;;Seidel, Tina/C-6221-2009;Seidel, Tina/0000-0002-2578-1208;;;;;;;;;;;;;0959-4752;;;;;JUN;2006;16;3;;;;;228;240;;10.1016/j.learninstruc.2006.03.002;http://dx.doi.org/10.1016/j.learninstruc.2006.03.002;;;;;;;;;;;;;WOS:000238326600004;View Full Record in Web of Science
J;"Seidel, T; Prenzel, M; Rimmele, R; Dalehefte, IM; Herweg, C; Kobarg, M; Schwindt, K";;;;"Seidel, Tina; Prenzel, Manfred; Rimmele, Rolf; Dalehefte, Inger Marie; Herweg, Constanze; Kobarg, Mareike; Schwindt, Katharina";;;Views on instruction in physics - Findings of the IPN video study;ZEITSCHRIFT FUR PADAGOGIK;;;;;;;;;;;;The authors present the findings of the IPN video study which focussed on the description and explanation of teaching-learning-processes in physics instruction. The findings of this research project, which covered a period of six years, show, on the one hand, the uniform character of physics instruction in Germany with regard to class organization, goal orientation, learner support, the culture of handling mistakes, and experiments. On the other hand, the analyses reveal differential effects of teaching on learning development among students of both sexes. while characteristics such as goal orientation and experimenting influence above all cognitive learning development, learning support has a stronger impact on the development of attitudes and interest in physics.;;;;;Seidel, Tina/C-6221-2009;Seidel, Tina/0000-0002-2578-1208;;;;;;;;;;;;;0044-3247;;;;;NOV-DEC;2006;52;6;;;;;799;821;;;;;;;;;;;;;;;;WOS:000242306300003;View Full Record in Web of Science
J;"Krange, I; Ludvigsen, S";;;;"Krange, Ingeborg; Ludvigsen, Sten";;;What does it mean? Students' procedural and conceptual problem solving in a CSCL environment designed within the field of science education;INTERNATIONAL JOURNAL OF COMPUTER-SUPPORTED COLLABORATIVE LEARNING;;;;;;;;;;;;This article discusses the relationship between procedural and conceptual problem solving in a computer-supported collaborative learning (CSCL) environment designed within the field of science education. The contribution of this article, and our understanding of this phenomenon, is anchored in our socio-cultural interpretation, and that implies distinctive inputs for the design and re-design of these kinds of learning environments. We discuss institutional aspects linked to the school as a curriculum deliverer, as well as to the presentation of the knowledge domain and the construction of the CSCL environment. The data is gathered from a design experiment in a science setting in a secondary school, and video data is used to perform an interaction analysis. More specifically, we follow a group of four secondary school students who solve a biological problem in a computer-based 3D model supported by a website. Our findings are clear in the sense that the procedural types of problem solving tend to dominate the students' interactions, while conceptual knowledge construction is only present where it is strictly necessary to carry out the problem solving. Based on our analyses, we conclude that this can be explained partly by how the knowledge domain is presented and how the CSCL environment is designed, but that the main reason is linked to the institutional aspects related to the school as curriculum deliverer where its target is to secure that the students actually solve problems that are predefined in the syllabus list. We argue that this affords some particular challenges, linked to making conceptual knowledge constructions in science education explicit in the CSCL environment, and to encouraging the teachers and the school as a curriculum deliverer to give this kind of knowledge construction a prioritised value.;;;;;;Krange, Ingeborg/0009-0005-5946-0612;;;;;;;;;;;;;1556-1607;1556-1615;;;;MAR;2008;3;1;;;;;25;51;;10.1007/s11412-007-9030-4;http://dx.doi.org/10.1007/s11412-007-9030-4;;;;;;;;;;;;;WOS:000270086400003;View Full Record in Web of Science
