key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1077012236,Unfolding teaching practices in higher education courses: Cases from        school leadership programs,2022,,,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH,0883-0355,112,,,"Jensen, R and Ottesen, E and Jensen, Ruth and Ottesen, Eli",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","This article provides insight into teaching practices in higher education. The empirical data are from master's programs in educational school leadership at universities in Norway and the United States (California). We employed a case study approach to investigate how teaching practices unfolded at the two sites. The data comprised textual materials and video data from two cases. Using Actor-Network Theory, we identified the key entities (social and material) that constitute the teaching practices. While the entities were fairly similar in the cases, the resulting relationships between them, while appearing distinctive, differed. Insights into how teaching practices unfold can offer valuable knowledge when evaluating existing programs and designing new programs in higher education.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""} | USER-NOTES: {""Jürgen""=>[""these are notes""]}",10.1016/j.ijer.2021.101919     EA JAN 2022,NETWORKS,,
rayyan-1077012237,Playful interventions to promote the subjective wellbeing of pediatric        cancer inpatients during laboratory and imaging exams: A qualitative        study,2022,2,,EUROPEAN JOURNAL OF ONCOLOGY NURSING,1462-3889,56,,,"da Rosa, VM and Daudt, F and Tonetto, LM and Brust-Renck, PG and Reed, JP and Fogliatto, FS and da Rosa, Valentina Marques and Daudt, Francielle and Tonetto, Leandro Miletto and Brust-Renck, Priscila G. and Reed, Jillian Phipps and Fogliatto, Flavio Sanson",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Purpose: We investigate the experience of pediatric oncology patients with objects and equipment involved in laboratory and image examinations during hospitalization for cancer treatment while generating guidelines for playful interventions to improve their subjective wellbeing.        Method: The study was carried out at a public tertiary referral teaching hospital in Southern Brazil. Data collection was based on participatory observations with six children aged 4-8 years. Their experiences with exams were observed through pretend play and recorded in field diaries, audio, and video. Data were analyzed using Thematic Analysis and discussed according to the PERMA-V model, a theoretical framework from positive psychology.        Results: Several objects and equipment that seem to affect the wellbeing of children during exams were identified. Four playful interventions were proposed as supportive care initiatives: use of technology to allow immersive experiences in learning about treatment and medical condition; design for personalization; gamifying experiences to allow positive reinforcement; and design for focus redirection.        Conclusions: Guidelines for playful interventions to foster the subjective wellbeing of hospitalized children during image and laboratory exams were proposed. The PERMA-V model provided a solid base for the analysis of the interventions, which will be implemented and tested in future studies in clinical settings.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not educational context",10.1016/j.ejon.2022.102094     EA JAN 2022,VIRTUAL-REALITY;NEGATIVE AFFECT;CHILDREN;FEASIBILITY;PARENTS,,
rayyan-1077012238,Advancing video research methodology to capture the processes of social        interaction and multimodality,2022,5,,ZDM-MATHEMATICS EDUCATION,1863-9690,54,2,433-443,"Hannula, MS and Haataja, E and Lofstrom, E and Moreno-Esteva, EG and Salminen-Saari, JFA and Laine, A and Hannula, Markku S. and Haataja, Eeva and Lofstrom, Erika and Moreno-Esteva, Enrique Garcia and Salminen-Saari, Jessica F. A. and Laine, Anu",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","In this reflective methodological paper we focus on affordances and challenges of video data. We compare and analyze two research settings that use the latest video technology to capture classroom interactions in mathematics education, namely, The Social Unit of Learning (SUL) project of the University of Melbourne and the MathTrack project of the University of Helsinki. While using these two settings as examples, we have structured our reflections around themes pertinent to video research in general, namely, research methods, data management, and research ethics. SUL and MathTrack share an understanding of mathematics learning as social multimodal practice, and provide possibilities for zooming into the situational micro interactions that construct collaborative problem-solving learning. Both settings provide rich data for in-depth analyses of peer interactions and learning processes. The settings share special needs for technical support and data management, as well as attention to ethical aspects from the perspective of the participants' security and discretion. SUL data are especially suitable for investigating interactions on a broad scope, addressing how multiple interactional processes intertwine. MathTrack, on the other hand, enables exploration of participants' visual attention in detail and its role in learning. Both settings could provide tools for teachers' professional development by showing them aspects of classroom interactions that would otherwise remain hidden.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: methodological",10.1007/s11858-021-01323-5     EA JAN 2022,TEACHER;COGNITION;GESTURES;Interpersonal Relations;Research Design,,
rayyan-1077012239,Material inquiry and transformation as prerequisite processes of        scientific argumentation: Toward a social-material theory of        argumentation,2022,8,,JOURNAL OF RESEARCH IN SCIENCE TEACHING,0022-4308,59,6,969-1009,"Tang, KS and Tang, Kok-Sing",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Argumentation as a scientific practice has largely been examined along an epistemic and/or dialogic perspective in science education research. Both perspectives have sidelined the use of real material objects that are indispensable for scientists to construct arguments about the natural world. To address this gap, this article investigates how material objects are used to coordinate with our speech and actions to shape argumentation in secondary physical science. Drawing on actor-network theory, the article reframes argumentation as a chain of human-material interactions incorporating the role of physical things to construct evidence. Based on a collective case study comprising classroom video data generated from two grade nine science classrooms, the article examines how teachers and students used material objects to engage in argumentation related to qualitative analysis in chemistry and Newton's laws of motions in physics. The analysis reveals two major themes: (a) material inquiry as the framing of questions and statements about the behavior or property of the material world and (b) material transformation as the orchestration of material objects, embodied actions, and words to actively create evidence. This article concludes that both material inquiry and material transformation are essential prerequisites for scientific argumentation to take place, not only in research laboratories, but also in science classrooms. The contribution to the development of a future socio-material theory of scientific argumentation, which takes material agency and multimodal discourse into account, are also discussed.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1002/tea.21749     EA JAN 2022,SCHOOL-STUDENTS;DRIVEN INQUIRY;MULTIMODAL REPRESENTATIONS;CONSTRUCT        ARGUMENTS;PEER ARGUMENTATION;SCIENCE;CLASSROOM;EXPLANATION;LITERACY;TEACHERS,,
rayyan-1077012240,"Emotion, place, and practice: Exploring the interplay in children's        engagement in ecologists' sampling practices",2022,5,,SCIENCE EDUCATION,0036-8326,106,3,610-644,"Lanouette, K and Lanouette, Kathryn",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","In science education, there has been a sustained focus on supporting the emergence of science practices in K-12 and field-based settings. Recent work has elevated the integral role of emotion in sparking and sustaining such disciplinary practices, deepening the field's understanding of what is entailed in ""doing"" science. Yet even as we gain this richer understanding of practice, less attention has been given to the places where practice emerges. These places play a critical role in the co-emergence of emotion and practice, and while separate strands of research have elevated emotion and practice or, alternately, place and practice, rarely has their dynamic relationship been considered together. In this article, I explore this interplay of emotion, place, and practice emergent in children's sampling practices within a multiweek curriculum centered around their schoolyard soil ecosystem. Through a comparative case study analysis of two student pairs using video data, student interviews, and classroom artifacts, my analysis reveals how children's emergent emotion was entangled in their relationships with the schoolyard and life within, shaping not only how they engaged in sampling practices but also what dimensions of the ecological system they attended to. I argue that emotion and place should be central to the design, teaching, and analysis of learning contexts, in turn centering the social and emplaced dimensions of science disciplinary practices for children and scientists alike. Implications for science teaching and learning are discussed, with particular consideration of field-based sciences.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1002/sce.21702     EA FEB 2022,FIELD ECOLOGY;SCIENCE-EDUCATION;EXPRESSIONS;KNOWLEDGE;CULTURE;QUALITY;DESIGN;SPACE;WORLD;Only Child;Child;Emotions,,
rayyan-1077012241,Trialling open educational resources for technology-supported teacher        professional development in rural Zimbabwe,2023,7,4,RESEARCH PAPERS IN EDUCATION,0267-1522,38,4,568-592,"Walker, H and Hennessy, S and Pimmer, C and Walker, Hannah and Hennessy, Sara and Pimmer, Christoph",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","This study reports on the adaptation and outcomes of a teacher professional development (TPD) programme in a rural Zimbabwean secondary school. The programme incorporated Open Educational Resources (OER), specifically OER4school materials, that were provided via tablet computers for teachers and students. A mixed-methods case study was employed to explore teachers' perceptions, knowledge, experiences of interactive learning and teaching in relation to this TPD, as well as their perceptions and experiences of the role and value of using technology to support student learning. Video data from structured lesson observations were triangulated with teacher post-lesson interviews and thematically coded. The interviews indicated that all teachers demonstrated a change in mindset and a clear understanding of interactive teaching methods. However, the structured observations revealed that only half of the teachers were using these interactive methods. Teachers also emphasised the value of OER and tablet technologies in improving lesson planning and making classroom learning more authentic. The use of technology, as both a TPD medium and as a classroom tool, showed potential to enhance the quality of TPD and teacher quality. Yet more specific teacher development to support the interactive use of technology within the classroom would be beneficial.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1080/02671522.2022.2034925     EA FEB 2022,ICT;PEDAGOGY;SCHOOLS,,
rayyan-1077012242,Effects of a two-stage physical education teacher education programme on        preservice teachers' specialised content knowledge and students'        game-play in a student-centred Sport Education-Step Game approach,2022,8,,EUROPEAN PHYSICAL EDUCATION REVIEW,1356-336X,28,3,816-834,"Farias, C and Teixeira, J and Ribeiro, E and Mesquita, I and Farias, Claudio and Teixeira, Joaquim and Ribeiro, Eugenio and Mesquita, Isabel",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","This study aimed to examine the effects of a physical education teacher education programme on (a) preservice teachers' (PSTs') specialised content knowledge (SCK), and (b) the game-play development of their students, during a student-centred Sport Education-Step Game Approach (SE-SGA) unit. Three PSTs selected by convenience sampling (22-24 years old), their 60 eighth-grade students (three classes: 38 boys, 22 girls, M-age = 13.3), and a mentoring team (one teacher educator, one university supervisor, and one cooperating teacher) participated in the study. The PSTs participated in a two-stage programme where they learned how to teach volleyball using SE-SGA, and then implemented an SE-SGA unit during their school placement. Using audio/video data from 30 lessons, we examined PSTs' SCK (content development, depth of content knowledge) on a lesson-by-lesson basis. We also assessed the 2v2 game-play performance of PSTs' students across three assessment points. Descriptive statistics were computed for SCK scores and repeated measures analysis of variances were used to analyse variance in game-play variables over time. Results showed improvement in PSTs' SCK and students' game-play. The PSTs showed strong SCK, with index levels above the 3.0 cut point, and progressive use of informing, refining, and applying-game tasks over time. Students improved in most game-play variables (namely 'serve', 'reception', 'setting') and the 'game performance index' over time. Student game-play development seemed to be strongly influenced by an interdependent interaction between PSTs' SCK and additional situated, model-based features of content development (i.e. extensive application of knowledge in competition events, the problem-solving focus of the refining tasks).","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1177/1356336X221084516     EA MAR 2022,PERFORMANCE;Physical Education and Training;Sports,,
rayyan-1077012243,"Impacts of classroom teaching practices on students' mathematics        learning interest, mathematics self-efficacy and mathematics test        achievements: a secondary analysis of Shanghai data from the        international video study Global Teaching InSights",2022,6,,ZDM-MATHEMATICS EDUCATION,1863-9690,54,3,581-593,"Zhu, Y and Kaiser, G and Zhu, Yan and Kaiser, Gabriele",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Teaching effectiveness is a core issue in educational research; however, there is little consensus about the most important results of classroom teaching from an international perspective. The effectiveness of teaching has remained a 'black box' for a long time. In the secondary study described in this paper we used empirical data for Shanghai taken from the international Organization for Economic Co-operation and Development (OECD) study Global Teaching InSights (GTI)-initially the Teaching and Learning International Survey (TALIS) Video Study-which was based on videotaped direct observations of classroom teaching. Eighty-five junior high school mathematics teachers and their students in Shanghai were observed to explore the impact of specific teaching practices on students' interest, self-efficacy, and mathematics achievement scores. The results revealed that social-emotional support and instruction quality were the key dimensions relating to the characteristics and differences of mathematics lessons in Shanghai. While the former had a significantly positive impact on students' general mathematics self-efficacy, the latter had a significantly positive impact on students' mathematics interest. Although specific teaching practices had no significant direct impact on students' mathematics achievement scores, social-emotional support and instruction quality considerably influenced students' academic performance in an indirect way via general self-efficacy.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: re-use",10.1007/s11858-022-01343-9     EA MAR 2022,INSTRUCTIONAL QUALITY;KNOWLEDGE;Mathematics,,
rayyan-1077012244,Teachers' enactment of policy in classrooms: making students accountable        through inscriptions from the curriculum in classroom interactions,2023,6,,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,0256-2928,38,2,881-902,"Silseth, K and Hontvedt, M and Makitalo, A and Silseth, Kenneth and Hontvedt, Magnus and Makitalo, Asa",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","The purpose of this paper is to examine the complex relationships between educational policy and classroom practice. By employing a sociocultural perspective, we examine formulations inscribed in socio-material artifacts about what students should learn and how they should engage with knowledge. We explore how these formulations are mobilized in instructional work and the implications this activity has for student participation. To address this issue, we analyzed video data of how teachers invoke competence aims from the national curriculum in their instructional work in six classrooms. The analytical procedures were derived from interaction analysis. The analysis focuses on how such formulations explicitly mediate social interaction as it unfolds on a micro level. The findings show that competence aims gain different functions as they are mobilized in classroom practice; in other words, they serve different purposes in teachers' instructional work and anticipate different modes of student participation. In this study, the competence aims were (a) invoked as a source of authority, (b) translated into instructions, and (c) mobilized to obtain social order in the classroom. More rarely, the competence aims were used in meta-level discussions, where they functioned to reach agreements on how to pursue work toward joint goals. We discuss the implications of these ways of invoking competence aims for student participation.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s10212-022-00610-3     EA APR 2022,AGENCY;VIDEO;PARTICIPATION;COMMUNITY;SYSTEMS;VOICES;TOOLS;Curriculum,,
rayyan-1077012245,Quality of Teaching Practices for All Students: Multilevel Analysis of        Language-Responsive Teaching for Robust Understanding,2023,3,,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,1571-0068,21,3,811-834,"Neugebauer, P and Prediger, S and Neugebauer, Philipp and Prediger, Susanne",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","The quality of curriculum resources and teaching practices can constrain or promote students' opportunities for mathematics learning, in particular, students with diverse language proficiency. The video study investigates 18 classes that all used the same curriculum resources aimed at developing 367 seventh graders' conceptual understanding of percentages to identify the interaction of quality dimensions, the enactment of given curriculum resources, and students' mathematical achievement (when controlling for mathematical preknowledge and language proficiency). Multilevel regression analysis revealed that three quality dimensions that can easily be supported by the curriculum resources (Mathematical Richness, Cognitive Demand, and Connecting Registers) were on a high level, and their variance had no additional interaction with students' achievement. In contrast, the 4 quality dimensions that were enacted in the teacher-student interaction with more variance (Agency, Equitable Access, Discursive Demand, and, in particular, Use of Student Contributions) had a significant additional impact on student achievement. These findings reveal important insights into the implementability of equitable instructional approaches.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s10763-022-10274-6     EA APR 2022,ENGLISH LEARNERS;MATHEMATICS;INSTRUCTION;OPPORTUNITIES;RESOURCES;FRAMEWORK;DESIGN;Teaching,,
