authors,year,title,journal,abstract
R Tuma,2018,Video-Interaktionsanalyse: Zur Feinauswertung von videographisch erhobenen Daten,Handbuch Qualitative Videoanalyse,"… Diese unterscheidet sich von der Kodierung der quantitativen Analyse dadurch, dass hier 
anhand unserer Kenntnisse des Feldes und der Daten zunächst offen Kodiert wird um das …"
C Mayrhofer,2017,ol3video: eine Open-Source-JavaScript-Bibliothek zur Synchronisation von Video-und GPS-Daten für OpenLayers-am Beispiel von www. gps-cam. net.,AGIT Journal Angew. Geoinformatik,"… Struktur wurde entschieden, den Player als Open-Source-Projekt öffentlich zugänglich zu 
machen. Um zu demonstrieren, wie vorhandene Daten im Player genutzt werden können, wird …"
R Mathes,1988,""" Quantitative"" Analyse"" qualitativ"" erhobener Daten? Die hermeneutisch-klassifikatorische Inhaltsanalyse von Leitfadengesprächen",ZUMA Nachrichten,"… Hinzu kommt eine beständige Offenheit des Verfahrens, dh das Kategoriensystem wird 
während des Codierprozesses immer, wenn es notwendig erscheint, ergänzt. Dies kann uU …"
T Neumann,2010,"Floating Car Daten und Datenfusion für ein qualitativ hochwertiges, urbanes Verkehrsmonitoring",Tagungsband Next Generation Forum 2010,"… Kapazitä-ten im Straßenverkehr optimal zu nutzen und zugleich die Verkehrssicherheit zu 
erhöhen. … Ansatz zur Auswertung der sogenannten Floating Car Daten (FCD) entwickelt, der …"
"H Knoblauch, R Wilke",2018,Forschungsdateninfrastrukturen für audio-visuelle Daten der Qualitativen Sozialforschung–Bedarf und Anforderungen,Paper Series,"… der in diesem Bereich erhobenen und analysierten Video-Daten beitragen soll. … In der 
Hauptsache möchten wir diesen kurzen Beitrag allerdings dafür nutzen, auf grundsätzliche …"
V Markl,2018,Eine nationale Daten-und Analyseinfrastruktur als Grundlage digitaler Souveränität,Informatik-Spektrum,"… uns, die neue Flut an Daten und Informationen zu beherrschen und produktiv zu nutzen. … 
zu großen, qualitativ hochwertigen Datenmengen (Internet, Forschungsdaten, öffentliche …"
P Bocker,2013,"ISDN: digitale Netze für Sprach-, Text-, Daten-, Video-und Multimediakommunikation",P Bocker - 2013 - books.google.com,"… Damit kann der Benutzer die Vorteile der Diensteintegration nutzen, ohne gleich alle 
vorhandenen Endgeräte austauschen zu müssen. Zur Klarstellung der Begriffe, die bei der …"
"R Biehler, A Eichler, J Engel, E Warmuth",2010,Leitidee Daten und Zufall für die Sekundarstufe II–Kompetenzprofi-le für die Bildungsstandards aus Sicht der Stochastik und ihrer Di-daktik,"R Biehler, A Eichler, J Engel, E Warmuth - 2010 - stochastik-in-der-schule.de","… Zuhilfenahme von Residuendiagrammen anpassen, und nutzen dafür ggfs. verständig 
nicht-… einer Entscheidung beim Hypothesentest, qualitativ, aber auch propädeutisch quantitativ …"
C Klee,2013,Vokabulare für bibliographische Daten,Open) Linked Data in Bibliotheken,"… Bibliographische Daten werden mehr denn je gebraucht. Sie werden außerhalb der … Im 
Web der Daten3 werden qualitativ hochwertige bibliographische Daten dringend als normieren…"
"E Kucher, E Kucher",1985,Scanner—Daten—Eine qualitativ neuartige Datenbasis,Scannerdaten und Preissensitivität bei …,"… Scanner-Daten unterscheiden sich von herkömmlichen Paneldaten vor allem durch 
einen gesteigerten Nutzen für Harketingentscheidungen. Die Unterschiede ergeben sich im …"
"S Schnorr-Bäcker, M Etienne",2018,Herausforderungenen und mögliche Lösungsansätze bei der Kombination statistischer und räumlicher Daten aus Sicht der Bundesstatistik,Stadtforschung und Statistik: Zeitschrift …,"… und Verbreitung von Daten geeignete Werkzeuge einsetzen, die in effizienter und 
effektiver Weise eine Bereitstellung qualitativ hochwertiger statistischer Daten sicherstellen. …"
"S Netscheri, O Wattelerii, A Perryiii",,Wir Machen Daten FAIR,scholar.archive.org,"… Zum anderen entsteht ein Trade-off zwischen Forschungszeit und der Zeit zur Generierung qualitativ hochwertiger und nachnutzbarer Daten, der zumeist zu Ungunsten der …"
