title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id
[HTML][HTML] Open data in global environmental research: The Belmont Forum's open data survey;2016;1;1;PloS one;;;;;B Schmidt, B Gemeinholzer, A Treloar;;;;;"… Forum’s survey on Open Data which targeted the global environmental research and data 
infrastructure community. It highlights users’ perceptions of the term “open data”, expectations …";;;;;
Open science practices are on the rise: The state of social science (3S) survey;2020;1;1;G Christensen, Z Wang, E Levy Paluck, N Swanson… - 2020 - escholarship.org;;;;;G Christensen, Z Wang, E Levy Paluck, N Swanson;;;;;"… to be selecting into our survey in a manner related to previous open science behavior (see 
Appendix Table 9). Taken together, these patterns suggest that the survey results are broadly …";;;;;
[PDF][PDF] The state of open data;2012;1;1;… of current open data …;;;;;K Braunschweig, J Eberius;;;;;"… ideal Open Data repository in Section 2. We then present our survey of existing Open Data 
reposito… We discuss the results of our survey in Section 4 and conclude our work in Section 5. …";;;;;
Open data as a foundation for innovation: The enabling effect of free public sector information for entrepreneurs;2013;1;1;IEEE Access;;;;;E Lakomaa, J Kallberg;;;;;"… rate) survey data from 138 Swedish ITentrepreneurs, we find that access to public open data is considered very important for many IT-startups; 43% find open data essential for the …";;;"Employment;Foundations";;
The impact of open data in the UK: Complex, unpredictable, and political;2015;1;1;Public administration;;;;;B Worthy;;;;;"… The survey and the statistics above point to Open Data users as ‘specific’ individuals with 
‘specific interests’. It is likely that they are, as with FOI at local level, a core of political activists, …";;;;;
SPrank: Semantic Path-Based Ranking for Top-N Recommendations Using Linked Open Data;2016;1;1;ACM Transactions on …;;;;;TD Noia, VC Ostuni, P Tomeo;;;;;… , a novel hybrid recommendation algorithm able to compute … knowledge base in the Linked Open Data cloud, to extract … Once we have f(u,i), we apply it to the recommendation set …;;;Semantics;;
Semantics-aware recommender systems exploiting linked open data and graph-based features;2018;1;1;Companion Proceedings of …;;;;;C Musto, P Lops, M de Gemmis;;;;;… In this contribution we propose a hybrid recommendation … features gathered from the Linked Open Data (LOD) cloud, as … , especially in highly sparse recommendation scenarios. Our …;;;Semantics;;
Top-n recommendations from implicit feedback leveraging linked open data;2013;1;1;Proceedings of the 7th …;;;;;VC Ostuni, T Di Noia, E Di Sciascio;;;;;"… The advent of the Linked Open Data (LOD) initiative gave birth to a variety of open … In this 
paper we present SPrank, a novel hybrid recommendation algorithm able to compute top-N …";;;Feedback;;
… worry in the 2020 coronavirus pandemic: Relationships to trust and compliance with preventive measures across 48 countries in the COVIDiSTRESS global survey;2021;1;1;… Open Science;;;;;A Lieberoth, SY Lin, S Stöckli;;;;;"… survey collects data on early human responses to the 2020 COVID-19 pandemic from 173 
429 respondents in 48 countries. The open science … on the Open Science Framework at https://…";;;;;
State-of-the-art in open data research: Insights from existing literature and a research agenda;2016;1;1;Journal of organizational …;;;;;MA Hossain, YK Dwivedi, NP Rana;;;;;"… survey of extant literature on open data has been performed. Hence, there is need for studies 
that examine open data … current state of research on open data, and present an extensive …";;;;;
Next-generation metrics: Responsible metrics and evaluation for open science;2017;1;1;JR Wilsdon, J Bar-Ilan, R Frodeman, E Lex, I Peters… - 2017 - eprints.whiterose.ac.uk;;;;;JR Wilsdon, J Bar-Ilan, R Frodeman, E Lex, I Peters;;;;;"… the European Open Science Agenda: foster open science; remove barriers to open science; 
… RECOMMENDATION #10: The EC should identify mechanisms for promoting best practices…";;;Metronidazole;;
Open science and research data management: A FAIR European postgraduate programme;2022;1;1;… Conference on Big …;;;;;H González–Vélez, C Dobre;;;;;"… a European postgraduate programme on Open Science and Research Data Management 
… Open Science and Research Data Management. We have applied a comprehensive survey …";;;;;
Semantic Web in data mining and knowledge discovery: A comprehensive survey;2016;1;1;Journal of Web Semantics;;;;;P Ristoski, H Paulheim;;;;;"… Open Data can be used at various stages for building content-based recommender systems. 
The survey … Web and Linked Open Data for data mining and KDD is still to be unlocked. …";;;Semantics;;
Resolving data sparsity and cold start problem in collaborative filtering recommender system using linked open data;2020;1;1;Expert Systems with …;;;;;S Natarajan, S Vairavasundaram, S Natarajan;;;;;"… that data sparsity has a major impact on recommendation performance. Biased singular value 
… Our approach achieves better recommendation performance than other models on both …";;;Cold Temperature;;
[PDF][PDF] Open data: an international comparison of strategies;2011;1;1;European journal of ePractice;;;;;N Huijboom, T Van den Broek;;;;;… To collect information about barriers and drivers for open data policy, TNO conducted a survey among policy-makers and experts in the five countries studied. The following table …;;;;;
Opening moves–drivers, enablers and barriers of open data in a semi-public organization;2013;1;1;Electronic Government: 12th IFIP …;;;;;AF Van Veenstra, TA Van Den Broek;;;;;"… We changed the second survey based on the findings from the first survey. The main 
changes were the exclusion of security risks and the inclusion of business-related barriers. The …";;;;;
[PDF][PDF] Open data, democracy and public sector reform;2010;1;1;A look at open government data use from data. gov. uk;;;;;T Davies;;;;;"… Ordnance Survey release significant GeoData as open data following a long 'Free our data' 
campaign by the Guardian, and consistent calls from developers for better access to geodata…";;;;;
Open data;2015;1;1;World Bank - 2015 - elibrary.worldbank.org;;;;;World Bank;;;;;"Describes the Open Data Initiative, launched by the World Bank Group in 2010, which 
provides free and open access to data about development in countries around the globe …";;;;;
