key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,excl_reason,labels,decision_c1,decision_c2,agreement
rayyan-1093294784,Taguette: open-source qualitative data analysis,2021,1,1,Journal of Open Source Software,"",,,"","R Rampin, V Rampin","","","","","… There have been fewer than twenty open-source CAQDAS … qualitative inquiry of text 
materials (see Figure 1). It is unique in that it provides a free and open-source tool for qualitative …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data","",Statistics as Topic,,,3 _not_human_observation_response_data,,Excluded,Excluded,1
rayyan-1093294788,Secondary qualitative data analysis,2013,1,1,Routledge international handbook of qualitative …,"",,,"",S Thorne,"","","","","… This chapter will describe secondary qualitative analysis as it … generated data set from the 
more traditional qualitative data … in the secondary context to fully appreciate how the data have …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-LABELS: research,screening full text | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health","",Statistics as Topic,,,"1 not sharing/ not using,5_adresses_government_health","research,screening full text",Excluded,Excluded,1
rayyan-1093294789,Recommendations for secondary analysis of qualitative data,2020,1,1,The Qualitative Report,"",,,"",SL Chatfield,"","","","","… and typical types of data used for qualitative secondary analysis. I next identify advantages 
and acknowledge challenges associated with secondary analysis of qualitative data. In the …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: directive","","",,,,directive,Included,,
rayyan-1093294791,Rigorous and ethical qualitative data reuse: Potential perils and promising practices,2019,1,1,International Journal of Qualitative Methods,"",,,"",CN Poth,"","","","","… using existing qualitative data for an analysis different from what the data were … as secondary qualitative analysis or qualitative data reuse, and I refer to the initial study in which the data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","","",,,,research,Included,,
rayyan-1093294793,On the potentials and problems of secondary analysis. An introduction to the FQS special issue on secondary analysis of qualitative data,2005,1,1,Forum Qualitative …,"",,,"","L Corti, A Witzel, L Bishop","","","","","… exemplars of data re-use, Louise … for secondary analysis of qualitative data and describe 
the various approaches to support and training taken by the ESDS Qualidata at the UK Data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","","",,,,research,Included,,
rayyan-1093294795,Theorizing from secondary qualitative data: A comparison of two data analysis methods,2019,1,1,Cogent Education,"",,,"","IF Dufour, MC Richard","","","","","… qualitative data. For reasons discussed further in this article, we used secondary qualitative data… issues associated with the use of secondary data with respect to each of the analytical …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Statistics as Topic,,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294796,Secondary qualitative data analysis in the health and social sciences,2019,1,1,CT Beck - 2019 - books.google.com,"",,,"",CT Beck,"","","","","… recently that enthusiasm for secondary analysis of qualitative data has gained momentum … 
in conducting qualitative research, the appeal of secondary analysis of qualitative data is clear…","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included"""", """"Rümeysa""""=>""""Included""""} | RAYYAN-LABELS: screening full text","",Statistics as Topic,,,,screening full text,Included,Included,1
rayyan-1093294797,Is it time to share qualitative research data?,2018,1,1,Qualitative psychology,"",,,"","JM DuBois, M Strait, H Walsh","","","","","… the scope of qualitative research and qualitative data. For our purposes, qualitative 
research projects also share in common something crucial: The data they analyze are non-numeric. …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext unter: https://doi.org/10.1037/qup0000076""""]}","","",,,,screening full text,Included,,
rayyan-1093294798,Qualitative data analysis: the framework approach,2011,1,1,Nurse researcher,"",,,"","J Smith, J Firth","","","","","… a means of analysing qualitative data derived from healthcare research because it can be 
used to manage qualitative data and undertake Abstract Qualitative methods are invaluable …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health","",Statistics as Topic,,,5_adresses_government_health,,Excluded,,
rayyan-1093294799,Secondary analysis of qualitative data: a valuable method for exploring sensitive issues with an elusive population?,2011,1,1,Journal of Research in …,"",,,"","T Long-Sutehall, M Sque","","","","","… a secondary analysis of primary qualitative datasets. Whilst there is a well-established tradition 
of carrying out a secondary … qualitative datasets. Despite a recent growth in interest in the …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294800,"Big data, qualitative style: a breadth-and-depth method for working with large amounts of secondary qualitative data",2019,1,1,Quality & quantity,"",,,"","E Davidson, R Edwards, L Jamieson, S Weller","","","","","… -scale data sets for reuse/secondary analysis. In this paper, we outline our approach to 
combining multiple qualitative data sets and explain why working with a corpus of ‘big qual’ data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294801,The ethics of the secondary analysis and further use of qualitative data,2009,1,1,Social Research Update,"",,,"",A Grinyer,"","","","","… analysis of secondary data arose as an issue during my return to two data sets that I had 
previously collected and that I now wanted to compare for a journal article. The data had been …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext verfügbar unter: https://sru.soc.surrey.ac.uk/SRU56.pdf""""]}","","",,,,screening full text,Included,,
rayyan-1093294803,Analyzing qualitative data,2003,1,1,Programme Development & …,"",,,"","M Renner, E Taylor-Powell","","","","","… Exactly how you manage the data depends on your personal preference and the amount 
and type of qualitative data you have. Here are some data management tips: …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","","",,,1 not sharing/ not using,,Excluded,,
rayyan-1093294804,The contexts of context: Broadening perspectives in the (re) use of qualitative data,2006,1,1,Methodological Innovations Online,"",,,"",N Moore,"","","","","… to understand reusing qualitative data, not as the reuse of pre-existing data, but as a new 
process of recontextualising data. This opens up a more productive notion of reuse and more …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext: https://doi.org/10.4256/mio.2006.0009""""]}","","",,,,screening full text,Included,,
rayyan-1093294805,"Re-using archived qualitative data–where, how, why?",2007,1,1,Archival Science,"",,,"",L Corti,"","","","","… data, there is not yet a well-developed paradigm, nor an evident blossoming research 
culture, for secondary qualitative data … relating to the secondary analysis of qualitative data. …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294807,Grasping at context: Cross language qualitative research as secondary qualitative data analysis,2006,1,1,Forum Qualitative …,"",,,"","B Temple, R Edwards","","","","","… and secondary qualitative data analysis. [1] In this article, we initially outline debates about secondary qualitative data analysis and the issue of language as part of the data construction …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Hand Strength;Statistics as Topic,,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294808,Reworking qualitative data,2004,1,1,Reworking Qualitative Data,"",,,"",J Heaton,"","","","","… In the next chapters, I examine existing examples of studies involving the re-use of qualitative data and explore how the methodology has been defined and developed in practice. …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294809,Central questions of anonymization: A case study of secondary use of qualitative data,2005,1,1,… /Forum: Qualitative …,"",,,"","D Thomson, L Bzdel, K Golden-Biddle","","","","","… Qualitative research focuses on how people live and act in … study of working with anonymized data on the research project, … This project involves the secondary use of qualitative data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext unter: https://doi.org/10.17169/fqs-6.1.511""""]}","","",,,,screening full text,Included,,
